Cd,T1_Re30.000_M0.20_N9.0, , Cd,T1_Re30.000_M0.20_N9.0, , Cd,T1_Re30.000_M0.20_N9.0, , Cd,T1_Re30.000_M0.20_N9.0, , 
    0.2219159,     -1.191198, ,     0.1810518,     -1.382103, ,    0.03560168,     -1.632395, ,    0.04220354,      -1.65051, , 
    0.1818563,     -1.335035, ,      0.161948,     -1.445509, ,    0.03083629,     -1.629126, ,    0.03612978,     -1.658781, , 
    0.1158508,     -1.688721, ,     0.1414047,     -1.524983, ,    0.02681406,     -1.618935, ,    0.03100399,     -1.659535, , 
   0.09169807,     -1.811765, ,     0.1224252,     -1.603516, ,    0.02346975,     -1.602154, ,    0.02722937,      -1.64689, , 
   0.07557551,     -1.883019, ,     0.1057869,     -1.672528, ,    0.02064888,     -1.580782, ,    0.02329553,     -1.637009, , 
   0.06397306,     -1.923775, ,    0.08033493,     -1.766261, ,    0.01817151,     -1.559246, ,    0.02022128,     -1.612603, , 
   0.05509608,     -1.946252, ,    0.07068214,     -1.793448, ,    0.01462559,     -1.486792, ,    0.01767084,     -1.572918, , 
   0.04820384,     -1.954609, ,     0.0613997,     -1.819383, ,    0.01336983,     -1.432424, ,    0.01335347,     -1.408363, , 
   0.04205394,      -1.95837, ,    0.05259957,     -1.842383, ,     0.0123187,     -1.369542, ,    0.01244012,     -1.361009, , 
    0.0372795,     -1.951449, ,    0.04666838,     -1.843778, ,    0.01130249,     -1.298654, ,    0.01163624,     -1.314154, , 
    0.0331738,     -1.939985, ,    0.04080061,     -1.844765, ,    0.01050071,     -1.234631, ,    0.01091133,     -1.265125, , 
   0.02957228,     -1.926024, ,    0.03494492,     -1.848546, ,   0.009873139,     -1.186042, ,     0.0102407,     -1.213924, , 
   0.02703141,     -1.900342, ,    0.03144626,     -1.831927, ,    0.00930158,     -1.135596, ,   0.009642477,     -1.162173, , 
   0.02419502,     -1.878322, ,    0.02652238,     -1.827241, ,   0.008765777,     -1.082684, ,   0.009084339,     -1.109253, , 
   0.02219522,     -1.846245, ,      0.023532,      -1.80371, ,   0.008312456,     -1.030276, ,   0.008572232,     -1.055131, , 
   0.01987602,     -1.818356, ,    0.01975361,     -1.787783, ,    0.00785078,    -0.9751819, ,   0.008161113,      -1.00281, , 
   0.01802272,      -1.78566, ,    0.01648734,     -1.739924, ,   0.007456959,     -0.920436, ,   0.007810883,    -0.9499506, , 
   0.01637518,     -1.751533, ,    0.01467279,      -1.67808, ,    0.00708819,    -0.8646842, ,   0.007423131,    -0.8941385, , 
   0.01501746,     -1.700812, ,    0.01353282,     -1.622326, ,   0.006742276,    -0.8078827, ,   0.007112748,    -0.8391745, , 
   0.01382999,     -1.645162, ,    0.01265601,     -1.566249, ,   0.006452905,    -0.7516929, ,   0.006768793,    -0.7821454, , 
   0.01286074,     -1.590957, ,    0.01182448,     -1.509054, ,   0.006148903,    -0.6939128, ,   0.006461068,    -0.7251045, , 
    0.0113597,     -1.469648, ,    0.01113013,     -1.450146, ,   0.005910086,    -0.6369833, ,   0.006238717,    -0.6690761, , 
   0.01068764,     -1.406551, ,     0.0104789,     -1.390872, ,   0.005666656,    -0.5790885, ,   0.005980857,    -0.6112847, , 
   0.01006225,     -1.342405, ,   0.009908349,     -1.331043, ,   0.005467171,    -0.5215726, ,   0.005808109,     -0.554997, , 
  0.009532955,      -1.27896, ,   0.009362579,     -1.270481, ,   0.005272598,    -0.4635719, ,   0.005591862,    -0.4970287, , 
  0.009013563,     -1.217004, ,   0.008883709,     -1.209821, ,   0.005137121,    -0.4063127, ,   0.005448007,    -0.4400318, , 
  0.008579028,     -1.156148, ,   0.008429391,     -1.149062, ,   0.004990268,    -0.3484725, ,   0.005266765,    -0.3819048, , 
  0.008147108,     -1.094411, ,   0.008022224,     -1.087835, ,   0.004828744,    -0.2901743, ,    0.00514995,    -0.3245911, , 
  0.007786058,      -1.03279, ,   0.007623729,     -1.026378, ,   0.004710011,    -0.2325611, ,    0.00502425,    -0.2666637, , 
  0.007447057,    -0.9705603, ,   0.007259238,    -0.9648968, ,    0.00459579,     -0.175026, ,   0.004986397,     -0.209921, , 
   0.00713607,    -0.9081086, ,   0.006938156,    -0.9036066, ,   0.004491395,    -0.1175005, ,   0.004973283,    -0.1532053, , 
   0.00687619,    -0.8455889, ,   0.006639064,    -0.8421342, ,     0.0044067,    -0.0603926, ,    0.00514028,   -0.09899533, , 
  0.006629638,     -0.782709, ,   0.006343755,    -0.7803935, ,   0.004418521,   -0.00474692, ,   0.005481593,    0.06720818, , 
   0.00639469,    -0.7196692, ,   0.006064848,    -0.7186844, ,   0.004433201,    0.05108358, ,   0.005502152,     0.1800952, , 
  0.006205647,     -0.656709, ,   0.005825608,    -0.6572264, ,   0.004503466,     0.1622362, ,   0.005510834,     0.2361065, , 
  0.006042299,    -0.5937497, ,   0.005563913,    -0.5954645, ,   0.004541041,     0.2186957, ,   0.005457848,     0.2921108, , 
  0.005949184,    -0.5310237, ,   0.005344735,    -0.5338136, ,   0.004642784,     0.2754987, ,   0.005251337,     0.4025503, , 
  0.005798614,    -0.4679919, ,   0.005168884,    -0.4723025, ,   0.004794857,     0.3325562, ,   0.005232588,     0.4592587, , 
  0.005688661,    -0.2801097, ,   0.004994966,    -0.4107991, ,   0.004954962,     0.3896013, ,   0.005285511,     0.5166463, , 
  0.005767596,    -0.2178739, ,   0.004919162,     -0.349673, ,   0.005132224,      0.447022, ,   0.005387586,     0.5741925, , 
  0.005794804,    -0.1554521, ,   0.005196731,    -0.2287899, ,   0.005294695,     0.5046739, ,   0.005593628,     0.6890797, , 
  0.005846474,    -0.0932132, ,   0.005542353,    -0.1691067, ,   0.005478998,     0.5624749, ,   0.005729676,     0.7465246, , 
  0.005892937,   -0.03094853, ,   0.005678257,    -0.1085925, ,   0.005671158,     0.6202132, ,   0.005860327,     0.8036361, , 
  0.005974178,    0.03148672, ,   0.005656129,   -0.04738488, ,   0.005867245,     0.6778334, ,   0.006015569,     0.8606464, , 
  0.006014286,    0.09374148, ,   0.005592629,    0.07513647, ,   0.006067853,     0.7352869, ,   0.006197561,     0.9176016, , 
  0.005980594,     0.1566632, ,   0.005530463,      0.136465, ,   0.006272751,     0.7925415, ,    0.00639129,      0.974392, , 
  0.005948265,     0.2195728, ,   0.005530832,     0.1974205, ,   0.006500848,     0.8496504, ,   0.006611618,      1.030754, , 
  0.005917769,     0.2825026, ,   0.005565246,     0.2581492, ,   0.006764044,     0.9065513, ,   0.006864906,      1.086513, , 
  0.005928413,     0.3453102, ,   0.005590438,     0.3189237, ,   0.007046042,     0.9632447, ,   0.007124677,       1.14189, , 
  0.005937183,     0.4080559, ,   0.005619682,      0.379678, ,   0.007338955,      1.019712, ,   0.007379874,      1.196932, , 
  0.005829837,     0.4721923, ,   0.005661709,     0.4403541, ,   0.007650163,      1.075841, ,   0.007638232,      1.251653, , 
  0.005814531,      0.535099, ,   0.005726415,     0.5008903, ,   0.007977628,       1.13173, ,   0.008258618,      1.360351, , 
  0.005800306,     0.5979544, ,   0.005817077,     0.5612673, ,   0.008357689,      1.187249, ,   0.008639637,      1.413337, , 
  0.005889152,     0.6595764, ,   0.005956718,     0.6213125, ,    0.00877166,      1.242375, ,   0.009117836,      1.464503, , 
  0.006033347,     0.7205016, ,   0.006121681,     0.6811865, ,   0.009210266,      1.297068, ,   0.009817873,      1.511691, , 
  0.006206114,     0.7812993, ,   0.006285462,     0.7410788, ,   0.009667825,      1.351316, ,    0.01041325,      1.560032, , 
  0.006425013,     0.8416084, ,   0.006449329,     0.8009901, ,    0.01017964,      1.405033, ,    0.01096765,      1.608768, , 
  0.006658626,     0.9017187, ,   0.006902153,     0.9199385, ,    0.01075306,      1.458032, ,    0.01152963,      1.656663, , 
  0.006884806,     0.9619618, ,   0.007151263,     0.9792684, ,    0.01136981,      1.510227, ,    0.01214182,      1.702781, , 
  0.007123521,      1.022042, ,   0.007409208,      1.038562, ,    0.01200102,      1.561765, ,    0.01275318,      1.744269, , 
  0.007397157,      1.081776, ,   0.007673015,      1.097862, ,    0.01275912,      1.611696, ,    0.01342146,      1.779685, , 
  0.007683503,       1.14133, ,   0.007967568,      1.156903, ,    0.01352857,      1.660929, ,    0.01417267,      1.814541, , 
  0.007988488,      1.200716, ,   0.008304869,      1.215647, ,    0.01440682,      1.707854, ,    0.01501547,      1.848194, , 
  0.008304984,       1.26003, ,   0.008659317,      1.274263, ,    0.01534482,      1.752776, ,    0.01597649,      1.880136, , 
  0.008635837,      1.319246, ,   0.009047428,      1.332647, ,    0.01638866,      1.794609, ,     0.0170662,      1.908977, , 
  0.008999719,      1.378048, ,   0.009437033,      1.391016, ,    0.01750122,      1.823663, ,    0.01833417,      1.934711, , 
  0.009371851,       1.43662, ,   0.009890369,      1.448934, ,    0.01880979,      1.849013, ,    0.01975298,      1.969564, , 
  0.009799186,      1.494673, ,    0.01032505,      1.506971, ,    0.02034117,      1.872262, ,    0.02154144,       1.99922, , 
   0.01021124,      1.552685, ,    0.01079733,      1.564723, ,    0.02220571,      1.892965, ,    0.02395048,       2.02187, , 
   0.01068621,       1.61006, ,    0.01135885,      1.621694, ,    0.02451242,      1.909225, ,    0.02676221,      2.037829, , 
   0.01116899,      1.667176, ,    0.01192764,      1.678461, ,    0.02737939,      1.918338, ,    0.02957102,      2.054986, , 
   0.01167238,      1.723912, ,    0.01253138,      1.734801, ,    0.03070698,      1.920997, ,     0.0334238,      2.061525, , 
   0.01224256,      1.779844, ,    0.01321532,      1.790283, ,    0.03508133,      1.921168, ,    0.03807304,      2.062358, , 
   0.01283591,      1.835245, ,    0.01400474,      1.844594, ,    0.04041755,      1.916064, ,    0.04344925,      2.059094, , 
   0.01343183,      1.890252, ,    0.01477125,      1.898734, ,     0.0475576,      1.899445, ,    0.04985072,      2.048261, , 
    0.0140932,      1.944174, ,    0.01558884,      1.951971, ,    0.05653188,      1.875197, ,    0.05784276,      2.025532, , 
   0.01484309,      1.996523, ,    0.01651171,      2.003502, ,    0.06815985,      1.839558, ,    0.06701547,      1.988057, , 
   0.01564503,      2.047421, ,     0.0175671,      2.052716, ,    0.08454335,      1.783101, ,    0.07996728,      1.937766, , 
   0.01645192,      2.097221, ,    0.01877942,       2.09891, , , , ,    0.09693437,      1.871279, , 
   0.01734108,        2.1447, ,    0.02010696,      2.141924, , , , ,     0.1228086,       1.75865, , 
   0.01833712,      2.188941, ,    0.02145869,      2.182097, , , , , , , , 
    0.0194539,      2.227114, ,    0.02297054,      2.213441, , , , , , , , 
   0.02071966,      2.254988, ,    0.02463931,      2.225993, , , , , , , , 
   0.02216864,      2.270365, ,    0.02678954,       2.23683, , , , , , , , 
    0.0239409,      2.290265, ,    0.02950579,      2.242833, , , , , , , , 
   0.02613332,      2.307428, ,    0.03291024,      2.243957, , , , , , , , 
   0.02875023,      2.322608, ,    0.03719125,      2.238972, , , , , , , , 
   0.03217064,       2.33016, ,    0.04299908,      2.221309, , , , , , , , 
   0.03621227,      2.334968, , , , , , , , , , , 
   0.04147635,      2.329929, , , , , , , , , , , 
   0.04776596,      2.320623, , , , , , , , , , , 
   0.05659461,      2.294589, , , , , , , , , , , 
   0.06837798,      2.251973, , , , , , , , , , , 
   0.08464676,      2.183405, , , , , , , , , , , 
    0.1130216,      2.038276, , , , , , , , , , , 
    0.2482402,      1.419845, , , , , , , , , , , 
     0.264261,      1.399364, , , , , , , , , , , 

