Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , Alpha,T1_Re30.000_M0.20_N9.0, , 
          -25,     -1.191198, ,           -25,     -1.382103, ,         -18.5,     -1.632395, ,           -20,      -1.65051, , 
        -24.5,     -1.335035, ,         -24.5,     -1.445509, ,           -18,     -1.629126, ,         -19.5,     -1.658781, , 
          -24,     -1.688721, ,           -24,     -1.524983, ,         -17.5,     -1.618935, ,           -19,     -1.659535, , 
        -23.5,     -1.811765, ,         -23.5,     -1.603516, ,           -17,     -1.602154, ,         -18.5,      -1.64689, , 
          -23,     -1.883019, ,           -23,     -1.672528, ,         -16.5,     -1.580782, ,           -18,     -1.637009, , 
        -22.5,     -1.923775, ,           -22,     -1.766261, ,           -16,     -1.559246, ,         -17.5,     -1.612603, , 
          -22,     -1.946252, ,         -21.5,     -1.793448, ,           -15,     -1.486792, ,           -17,     -1.572918, , 
        -21.5,     -1.954609, ,           -21,     -1.819383, ,         -14.5,     -1.432424, ,         -15.5,     -1.408363, , 
          -21,      -1.95837, ,         -20.5,     -1.842383, ,           -14,     -1.369542, ,           -15,     -1.361009, , 
        -20.5,     -1.951449, ,           -20,     -1.843778, ,         -13.5,     -1.298654, ,         -14.5,     -1.314154, , 
          -20,     -1.939985, ,         -19.5,     -1.844765, ,           -13,     -1.234631, ,           -14,     -1.265125, , 
        -19.5,     -1.926024, ,           -19,     -1.848546, ,         -12.5,     -1.186042, ,         -13.5,     -1.213924, , 
          -19,     -1.900342, ,         -18.5,     -1.831927, ,           -12,     -1.135596, ,           -13,     -1.162173, , 
        -18.5,     -1.878322, ,           -18,     -1.827241, ,         -11.5,     -1.082684, ,         -12.5,     -1.109253, , 
          -18,     -1.846245, ,         -17.5,      -1.80371, ,           -11,     -1.030276, ,           -12,     -1.055131, , 
        -17.5,     -1.818356, ,           -17,     -1.787783, ,         -10.5,    -0.9751819, ,         -11.5,      -1.00281, , 
          -17,      -1.78566, ,         -16.5,     -1.739924, ,           -10,     -0.920436, ,           -11,    -0.9499506, , 
        -16.5,     -1.751533, ,           -16,      -1.67808, ,          -9.5,    -0.8646842, ,         -10.5,    -0.8941385, , 
          -16,     -1.700812, ,         -15.5,     -1.622326, ,            -9,    -0.8078827, ,           -10,    -0.8391745, , 
        -15.5,     -1.645162, ,           -15,     -1.566249, ,          -8.5,    -0.7516929, ,          -9.5,    -0.7821454, , 
          -15,     -1.590957, ,         -14.5,     -1.509054, ,            -8,    -0.6939128, ,            -9,    -0.7251045, , 
          -14,     -1.469648, ,           -14,     -1.450146, ,          -7.5,    -0.6369833, ,          -8.5,    -0.6690761, , 
        -13.5,     -1.406551, ,         -13.5,     -1.390872, ,            -7,    -0.5790885, ,            -8,    -0.6112847, , 
          -13,     -1.342405, ,           -13,     -1.331043, ,          -6.5,    -0.5215726, ,          -7.5,     -0.554997, , 
