Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
          -10,    -0.9790069, ,           -10,    -0.9728599, ,           -10,    -0.9289385, ,           -10,    -0.8468911, , 
         -9.9,    -0.9663475, ,          -9.9,    -0.9604713, ,          -9.9,    -0.9174845, ,          -9.9,    -0.8352862, , 
         -9.8,    -0.9536981, ,          -9.8,    -0.9480717, ,          -9.8,    -0.9060077, ,          -9.8,    -0.8236956, , 
         -9.7,    -0.9411587, ,          -9.7,    -0.9356563, ,          -9.7,    -0.8945499, ,          -9.7,    -0.8121085, , 
         -9.6,    -0.9285345, ,          -9.6,    -0.9232314, ,          -9.6,    -0.8830644, ,          -9.5,    -0.7890492, , 
         -9.5,     -0.915805, ,          -9.5,    -0.9108002, ,          -9.5,    -0.8716041, ,          -9.4,    -0.7777214, , 
         -9.4,    -0.9031521, ,          -9.4,    -0.8983544, ,          -9.4,     -0.860361, ,          -9.3,    -0.7666377, , 
         -9.3,    -0.8905691, ,          -9.3,    -0.8858766, ,          -9.3,    -0.8491614, ,          -9.2,    -0.7555043, , 
         -9.2,    -0.8778759, ,          -9.2,    -0.8734004, ,          -9.2,    -0.8379876, ,            -9,    -0.7328285, , 
         -9.1,     -0.865121, ,          -9.1,    -0.8609276, ,            -9,    -0.8153347, ,          -8.9,    -0.7213231, , 
         -8.9,    -0.8396463, ,            -9,    -0.8484583, ,          -8.9,    -0.8038553, ,          -8.8,     -0.709774, , 
         -8.8,    -0.8269852, ,          -8.9,    -0.8359926, ,          -8.8,    -0.7923032, ,          -8.7,    -0.6981956, , 
         -8.7,    -0.8143081, ,          -8.8,    -0.8235196, ,          -8.7,    -0.7807235, ,          -8.6,    -0.6865065, , 
         -8.6,    -0.8015604, ,          -8.7,    -0.8110478, ,          -8.6,    -0.7690606, ,          -8.5,    -0.6748008, , 
         -8.5,    -0.7887544, ,          -8.6,    -0.7985826, ,          -8.5,    -0.7573685, ,          -8.4,    -0.6631033, , 
         -8.4,    -0.7759825, ,          -8.5,    -0.7861278, ,          -8.4,    -0.7457005, ,          -8.3,    -0.6515354, , 
         -8.3,    -0.7632632, ,          -8.4,    -0.7736887, ,          -8.3,    -0.7340721, ,          -8.2,    -0.6401934, , 
         -8.2,    -0.7505666, ,          -8.3,    -0.7612632, ,          -8.2,    -0.7225072, ,          -8.1,    -0.6290296, , 
         -8.1,    -0.7378857, ,          -8.2,    -0.7488551, ,          -8.1,    -0.7110817, ,            -8,    -0.6177685, , 
         -7.9,    -0.7123583, ,          -8.1,    -0.7364645, ,            -8,    -0.6997564, ,          -7.9,    -0.6063242, , 
         -7.8,    -0.6996079, ,            -8,    -0.7240807, ,          -7.9,    -0.6883548, ,          -7.8,    -0.5947519, , 
         -7.6,    -0.6742756, ,          -7.9,    -0.7116785, ,          -7.8,    -0.6768691, ,          -7.6,    -0.5714091, , 
         -7.5,    -0.6615355, ,          -7.8,    -0.6992495, ,          -7.7,     -0.665278, ,          -7.5,    -0.5596693, , 
         -7.4,     -0.648792, ,          -7.7,    -0.6868205, ,          -7.6,    -0.6536296, ,          -7.4,    -0.5479299, , 
         -7.3,    -0.6360517, ,          -7.6,    -0.6743889, ,          -7.5,    -0.6419171, ,          -7.3,    -0.5362355, , 
         -7.2,    -0.6234622, ,          -7.5,    -0.6619194, ,          -7.3,    -0.6183738, ,          -7.2,     -0.524707, , 
         -7.1,    -0.6107825, ,          -7.4,    -0.6494557, ,          -7.1,      -0.59498, ,          -7.1,    -0.5133592, , 
           -7,    -0.5980674, ,          -7.3,    -0.6369844, ,          -6.9,    -0.5721715, ,            -7,    -0.5020061, , 
         -6.9,    -0.5854134, ,          -7.2,    -0.6245287, ,          -6.7,    -0.5491336, ,          -6.9,    -0.4905119, , 
         -6.8,    -0.5727537, ,          -7.1,     -0.612072, ,          -6.6,    -0.5374384, ,          -6.8,    -0.4788894, , 
